== 已进入发布页: https://mp.toutiao.com/profile_v4/graphic/publish ==
== 填稿前状态 ==
  [t=0s 填稿前] [class*='draft'] -> ['DIV', '', 'byte-skeleton publish-draft-tip-wrapper byte-skeleton-animate']
  [t=0s 填稿前] [class*='draft'] -> ['UL', '', 'byte-skeleton-text publish-draft-tip-skeleton']
  [t=0s 填稿前] [class*='draft'] -> ['DIV', '草稿将自动保存', 'footer-tip footer-draft-save']
  [t=0s 填稿前] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=2s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=2s] [class*='draft'] -> ['DIV', '', 'byte-skeleton publish-draft-tip-wrapper byte-skeleton-animate']
  [t=2s] [class*='draft'] -> ['UL', '', 'byte-skeleton-text publish-draft-tip-skeleton']
  [t=2s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=2s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=4s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=4s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=4s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=6s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=6s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=6s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=8s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=8s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=8s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=10s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=10s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=10s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=12s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=12s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=12s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=14s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=14s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=14s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=16s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=16s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=16s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=18s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=18s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=18s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=20s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=20s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=20s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=22s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=22s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=22s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=24s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=24s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=24s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=26s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=26s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=26s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=28s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=28s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=28s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']
  [t=30s] text=草稿保存中 -> ['SPAN', '草稿保存中...', 'footer-tip-save ']
  [t=30s] [class*='draft'] -> ['DIV', '草稿保存中...', 'footer-tip footer-draft-save']
  [t=30s] [class*='draft'] -> ['SPAN', '', 'footer-back-content-icon footer-draft-online-icon']

== 观察结束（30s，未点击任何按钮）==
